,City,Lat,Lng,Temp,Humidity,Cloudiness,Wind Speed,Country,Date,City ID
201,rivadavia,-33.21783908837263,-68.48937569553829,39.02,48,53,2.57,AR,1562504517,3837213.0
202,grand gaube,-13.830072552553602,64.10804747813322,76.59,69,20,12.75,MU,1562504517,934479.0
203,marawi,20.180373017494404,29.451472074110143,77.0,92,85,4,PH,1562504517,1701054.0
204,avarua,-44.50323384627748,-160.15025077794232,71.6,64,24,6.93,CK,1562504364,4035715.0
205,tutoia,1.0428611416053144,-41.41786709070382,80.6,76,23,6.89,BR,1562504518,3385899.0
206,skagastrond,67.47814045142596,-21.145420458667473,,,,,,,
207,vostok,50.39436299848384,151.9687623110584,66.02,92,0,1.52,RU,1562505033,2013279.0
208,praya,-9.805762798524754,116.6307512128605,73.4,83,40,11.41,ID,1562504518,1630662.0
209,hobyo,1.6871641591399396,50.79155649074059,87.62,54,92,27.34,SO,1562504518,57000.0
210,ardabil,38.121531618884006,47.935600400547315,71.6,49,20,24.16,IR,1562504493,143083.0
211,kurumkan,54.68062446118955,110.97863049025563,60.62,66,81,3.65,RU,1562504519,2021188.0
212,stornoway,58.67097061424727,-6.010609449571945,,,,,,,
213,fort frances,48.70211160575096,-93.71416133432852,51.19,100,90,1.99,CA,1562504519,5955826.0
214,taolanaro,-67.95730027985344,62.111243007208344,,,,,,,
215,bengkulu,-10.220755398521845,94.86489906388817,,,,,,,
216,vardo,89.65757698051573,38.2563009585956,74.86,88,75,5.82,US,1562504767,4372777.0
217,northam,-27.457949915283372,120.75666834475305,51.8,81,0,4.7,AU,1562504520,2064550.0
218,banjar,-17.915836618798537,105.1387917564225,73.04,89,61,3.13,ID,1562504521,1650233.0
219,ornskoldsvik,64.53235718299766,18.073966002554613,61.61,48,84,5.82,SE,1562504521,2686469.0
220,kamaishi,38.741868588241346,142.6498445149926,52.7,95,54,4.32,JP,1562504521,2112444.0
221,saint-augustin,58.52515527233214,-58.881426350992285,65.05,59,20,8.05,CA,1562505035,6138501.0
222,bontang,1.1995953562265385,117.82325690104233,76.64,88,10,3.58,ID,1562504522,1648186.0
223,burla,53.25148226411861,78.15199832181833,75.02,41,0,13.51,RU,1562504522,1508636.0
224,macaboboni,16.780391871004923,117.5448987257958,,,,,,,
225,quixada,-4.9797597947979,-39.02721877638879,,,,,,,
226,lompoc,27.93926230670462,-123.81780177324791,55.63,100,49,5.97,US,1562504522,5367788.0
227,port lincoln,-47.20520995789483,129.46541504953848,59.18,71,13,17.65,AU,1562505036,2063036.0
228,ahipara,-36.4245836139944,171.34746929684263,58.46,74,96,17.69,NZ,1562504523,2194098.0
229,satuk,15.19869028513294,103.17572148932874,82.11,42,20,13.87,TR,1562504523,737723.0
